Network,Address,NameAddress
bsc,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,ANC_TERRA_bsc
terra,terra14z56l0fp2lsf86zy3hty2z47ezkhnthtr9yq76,ANC_Token_terra
ethereum,0x0F3ADC247E91c3c50bC08721355A41037E89Bc20,ANC_Token_eth
