,blockNumber,timestamp_iso8601,timestamp_unixtime,minter,mintAmount,mintTokens
0,12851775,2021-07-18T16:50:10Z,1626627010,0x57ca561798413a20508b6bc997481e784f3e6e5f,284732617966811461161,1401920343452
0,12851770,2021-07-18T16:49:05Z,1626626945,0x0d5e2c0efadb7248c42ff1ae4962cd522106152e,10015658008364271802,49313475435
0,12851377,2021-07-18T15:20:50Z,1626621650,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,677430000000000000,3335424771
0,12851092,2021-07-18T14:18:29Z,1626617909,0xdda73e606c28d37e25896ded4ea2d7e44e90cd65,1008626727589659206,4966124828
0,12851056,2021-07-18T14:11:18Z,1626617478,0xcdf96633f4d86ae167feba892741d46affb7bcc2,10000000000000000,49236504
0,12850579,2021-07-18T12:25:24Z,1626611124,0x00858982166a1d9ba05ffe832a0693c6f610e0be,15162227924691729645,74653635770
0,12850246,2021-07-18T11:08:13Z,1626606493,0xd240d8b905ff5fd3910662b0c83838498f84406e,245294947824622372,1207750023
0,12849856,2021-07-18T09:38:18Z,1626601098,0x0d6af0a4fcd387182ca106270794d81477f6dffd,14443862174834247174,71116828741
0,12849558,2021-07-18T08:29:25Z,1626596965,0x26c04bc43dd9262e1dc2ee644ee07d0aaba46864,9793791264596481507,48221458870
0,12849337,2021-07-18T07:37:17Z,1626593837,0x40fd597e491ccb661e470417197ae681957f5724,8848287158878004703,43566136470
0,12849252,2021-07-18T07:17:39Z,1626592659,0x0c2affc8b2cd4ff89402d797882df784d6be2f62,1274404930546001467,6274764224
0,12849085,2021-07-18T06:36:29Z,1626590189,0xb6f5b3624d51fba03a801d9ad3586e8a7bbb7575,55983240000000000,275643815
0,12849074,2021-07-18T06:35:15Z,1626590115,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,98000000000000000,482521107
0,12848930,2021-07-18T06:01:07Z,1626588067,0xbdde04bb41cd7e608d4cd1df6af6bcbafa768f95,4650869649859173957,22899427656
0,12848787,2021-07-18T05:26:47Z,1626586007,0xb4e6cdffe9ad377dc6e29f2ffec4de4b3dc99ccf,552059440000000000,2718169399
0,12848701,2021-07-18T05:06:40Z,1626584800,0x93a72a4fdb82ce1ae2f91d949707acd9de78b849,583586900000000000,2873401698
0,12848699,2021-07-18T05:06:20Z,1626584780,0x06d7438cc3e810411751362efc42266ab1a27802,348285117995395315,1714848391
0,12848660,2021-07-18T04:58:11Z,1626584291,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,428570000000000000,2110146652
0,12848594,2021-07-18T04:44:53Z,1626583493,0x231fb4ee9138cd2880b43389177067a6a76df908,133441160000000000,657023315
0,12848563,2021-07-18T04:39:10Z,1626583150,0x766917c3ee4aa5164b3a6f01363865efa8ce6ffd,380000000000000000,1871003572
0,12848371,2021-07-18T03:56:59Z,1626580619,0xe91cbc483a8fda6bc377ad8b8c717f386a93d349,7148571503382621498,35197399601
0,12848144,2021-07-18T03:08:27Z,1626577707,0x695c63a99c49aa657249e25ac31447996ceab766,689812993109424291,3396432829
0,12847617,2021-07-18T01:10:02Z,1626570602,0x493e973ee64ea501a380635d254b6a32ac9490d4,2775000000000000000,13663295197
0,12847603,2021-07-18T01:06:58Z,1626570418,0x8d1fff1cf1cf527fe44672e0b130b77563c1f3e5,4000000000000000000,19694840893
0,12847317,2021-07-17T23:57:08Z,1626566228,0x2ea91e12c9006a9b1b6f215de7c849177966103c,211477970000000000,1041257289
0,12847255,2021-07-17T23:41:48Z,1626565308,0xaa6663dcd08f6a1d18e8b240292e9f1b7843ddba,15000000000000000000,73855743671
0,12847219,2021-07-17T23:30:52Z,1626564652,0xff0847037455a73740c2f3a7f2e39b3650bd8d31,132173720000000000,650785974
0,12847137,2021-07-17T23:12:38Z,1626563558,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,1000000000000000000,4923718286
0,12847068,2021-07-17T22:57:08Z,1626562628,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,49000000000000000,241262254
0,12846982,2021-07-17T22:39:04Z,1626561544,0xc6145175d51edfd6383851dc101f5872a79d7829,156705608221727948,771574689
0,12846953,2021-07-17T22:31:52Z,1626561112,0x695c63a99c49aa657249e25ac31447996ceab766,370799862224510115,1825715242
0,12846939,2021-07-17T22:28:29Z,1626560909,0x09eeb148e534c69920bbd4f220332bfaf42b893d,1091153710000000000,5372537213
0,12846929,2021-07-17T22:26:35Z,1626560795,0xf204d452cd93e242624f13a4cfbbee112fbe3c79,347621120000000000,1711589716
0,12846797,2021-07-17T22:01:44Z,1626559304,0xdd45ca901067d65860b54d4310e37371cd92fb09,1000000000000000000,4923724169
0,12846628,2021-07-17T21:23:52Z,1626557032,0x845b2b680699ab2be5eb7b939ac6735938891fed,25993345422113047251,127984139116
0,12846618,2021-07-17T21:21:15Z,1626556875,0xb7f33214cad61ffdfc81af7ef91c8912538e5050,1005000000000000000,4948345903
0,12846606,2021-07-17T21:19:04Z,1626556744,0x845b2b680699ab2be5eb7b939ac6735938891fed,52434600592781197377,258173683559
0,12846572,2021-07-17T21:09:54Z,1626556194,0x28ca6a9719a200d869c5c9ecebf1b1feb2ff4286,876800000000000000,4317124765
0,12846553,2021-07-17T21:06:34Z,1626555994,0x589fb1268ab39dd66c4c4c471242de46ea972430,3267259290000000000,16087097329
0,12846520,2021-07-17T20:58:46Z,1626555526,0x3ae85998c25fd1673bfa3906be2cc6a0f1efa195,3939289620000000000,19395994395
0,12846508,2021-07-17T20:56:51Z,1626555411,0x2f2982887e38f83d6d04277b149234080ec50b69,251192150000000000,1236802116
0,12846483,2021-07-17T20:51:10Z,1626555070,0x6d2eebc1d65e95eafc4e4c8a0742399b5280bafa,1241416108371187212,6112397242
0,12846274,2021-07-17T20:02:11Z,1626552131,0xbe344c4562342165fb259e0542473f0d1d7cb303,230000000000000000,1132458640
0,12846168,2021-07-17T19:38:17Z,1626550697,0x2ea91e12c9006a9b1b6f215de7c849177966103c,10528810000000000,51841070
0,12846014,2021-07-17T19:03:54Z,1626548634,0x09680e225e0310540df56d6972ea6ff0278314c4,564260000000000000,2778268246
0,12845976,2021-07-17T18:54:41Z,1626548081,0xf45f2f7b1bedfb3e3f17621ef8165274b91155ce,42259791443510138,208076156
0,12845965,2021-07-17T18:52:30Z,1626547950,0x3d944f03602e9225f486d2b58bee6c71e47b472b,1500000000000000000,7385607852
0,12845950,2021-07-17T18:48:26Z,1626547706,0x7d1480691773144bf7750c81fda9504eb901a433,795114612228622249,3914936689
0,12845939,2021-07-17T18:47:33Z,1626547653,0xdd8c96399d5c16456910e58837c2da8224568ccb,15058000000000000000,74141662141
0,12845688,2021-07-17T17:50:33Z,1626544233,0xe8b15938bbc2c86bae3f8dc0aa2164c255e95c09,63074380000000000,310562059
0,12845304,2021-07-17T16:24:34Z,1626539074,0x89f40ca416df2cb2fda79c3f5d9338e87cab0600,26369500715875006526,129836829387
0,12844871,2021-07-17T14:52:18Z,1626533538,0xa1db546883c772c7fd4034e265c0779fb1d7880a,6028186964241868497,29681330799
0,12844851,2021-07-17T14:49:07Z,1626533347,0x7daeb3ce3e7cb986ca507477a749f44b9a8aa220,85908420000000000,422992257
0,12844680,2021-07-17T14:09:38Z,1626530978,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,21000000000000000,103398977
