,blockNumber,timestamp_iso8601,timestamp_unixtime,oldReserveFactorMantissa,newReserveFactorMantissa
0,11438576,2020-12-12T14:10:16Z,1607782216,200000000000000000,250000000000000000
0,11072572,2020-10-17T09:17:06Z,1602926226,0,200000000000000000
