,blockNumber,timestamp_iso8601,timestamp_unixtime,redeemer,redeemAmount,redeemTokens
0,12824961,2021-07-14T11:45:04Z,1626263104,0x36ab75710650754c32e4850d2ad050849ebb5899,1000001958868669008,4924121946
0,12822959,2021-07-14T04:11:23Z,1626235883,0x532fd36ea87cf9f316fad40b39385a4716065b8c,44533752828177043220,219290896446
0,12822379,2021-07-14T02:00:53Z,1626228053,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,1080000000000000000,5318094344
0,12822065,2021-07-14T00:52:42Z,1626223962,0x147b3d45d68cfe67b247dfb32f1f06e03e0686a7,808441984236209257,3980903671
0,12820821,2021-07-13T20:05:29Z,1626206729,0xa72eacee720136a3b174e644ec24459d2c60512d,3912206876051973637,19264454272
0,12820789,2021-07-13T20:00:58Z,1626206458,0x2076c95e287cecb11c79460044f70e03c398614e,369848144079459930,1821203164
0,12820551,2021-07-13T19:06:34Z,1626203194,0xf3a463ec537b8024bd69d756df0d548c148ba4f6,8233720583017503971,40544456077
0,12820342,2021-07-13T18:18:46Z,1626200326,0xaa82f010293147f3ab6df648a6479bdabb1956c6,37549662239193316278,184902056352
0,12820227,2021-07-13T17:52:07Z,1626198727,0x2076c95e287cecb11c79460044f70e03c398614e,76097725530528558,374720606
0,12819494,2021-07-13T15:05:49Z,1626188749,0x9ef0ec7d2cdbb66bcfbd2d5bd41229bf71d69444,6811298240049589844,33540306988
0,12819472,2021-07-13T15:00:24Z,1626188424,0x19825a70279cda6f2b8b3104fa88e37e86d9f8d4,27330000000000000000,134578847673
0,12818880,2021-07-13T12:49:36Z,1626180576,0xef87d7c5eeb98715b5879a65d6a9f5a99ba57343,8142592476942036474,40095983609
0,12818507,2021-07-13T11:28:20Z,1626175700,0x6b45b74295ed34948df617da9ab360cb6cad4045,273670912976750920533,1347619983102
0,12818262,2021-07-13T10:26:33Z,1626171993,0xad91734091382ce337e1cc5eb26996492f15e18e,3019837942354482743,14870406874
0,12817161,2021-07-13T06:22:14Z,1626157334,0x4903cb9e427ded0e36598bc65c815052c98afeac,1296102377255408264,6382346472
0,12816937,2021-07-13T05:33:32Z,1626154412,0x1b7a959b22c1a50798f3f99a501bf4b40f6fae81,8000000000000000000,39394122754
0,12816074,2021-07-13T02:08:21Z,1626142101,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,12361880408582311516,60873383108
0,12815870,2021-07-13T01:23:07Z,1626139387,0x66be51b8e55862f6847eb6f652d7ec64ccbcd91c,1988885642844265313,9793841189
0,12815762,2021-07-13T00:55:16Z,1626137716,0xc155efbeb10ad1debedcd4f05dc0e669e5ba7e25,3256001879052241704,16033490307
0,12815408,2021-07-12T23:33:53Z,1626132833,0xd5e4429abbd79b583f9bb5ae677fa5a2173d9ae0,667825383844418203,3288568902
0,12815238,2021-07-12T22:52:06Z,1626130326,0xf75898cac54fd9ecba2f5f74f1600fcb251ea6bc,1530020067296411111,7534274457
0,12814360,2021-07-12T19:34:53Z,1626118493,0xf8494458b807048458a5e678a23ff7cd6471d7fa,5096500000000000000,25096769242
0,12814120,2021-07-12T18:39:19Z,1626115159,0xd56e9f604ba364d5df09730afcf946845ace6683,130000000000000000000,640161491068
0,12814119,2021-07-12T18:39:09Z,1626115149,0xc42705a210f082ff29e6beac80f56c41f0a54091,8111415245541789626,39943197680
0,12813994,2021-07-12T18:10:28Z,1626113428,0x36ab75710650754c32e4850d2ad050849ebb5899,1000015532884371621,4924398057
0,12813889,2021-07-12T17:45:03Z,1626111903,0x238c18883528c684bc6ae598ef678c46383e4077,5000641408733061863,24624776370
0,12813856,2021-07-12T17:39:10Z,1626111550,0x19553a6bd5f80f0c527343fa2737a36dbf4f81a3,459351251579065206,2261994486
0,12813804,2021-07-12T17:27:39Z,1626110859,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,2350000000000000000,11572164211
0,12813765,2021-07-12T17:19:59Z,1626110399,0x7c6ce24d013cd4ddf4c193ce318e3d5533a33f42,500084714426975966,2462580132
0,12812683,2021-07-12T13:27:12Z,1626096432,0xe6e7006ff0136a561bf07c7d1f20024acbfc33f9,607196051331360792,2990043849
0,12812546,2021-07-12T12:51:55Z,1626094315,0xc6439ed57731c3952e7c4f8218af779250680908,3000000000000000000,14773047866
0,12812401,2021-07-12T12:16:49Z,1626092209,0xb3cccdfd7a874d74eb5dc827410bf3f765b03c45,430127608562231775,2118099779
0,12811902,2021-07-12T10:23:21Z,1626085401,0x952c822ac44ac3cbb0573d0dc3cca4ea5f5b07d6,569850059424369066,2806147770
0,12811836,2021-07-12T10:09:11Z,1626084551,0xc5fbacec334a75b5e4e0be6834ae8053d25d1d91,1033756655583862911,5090592922
