,blockNumber,timestamp_iso8601,timestamp_unixtime,cashPrior,interestAccumulated,borrowIndex,totalBorrows
0,12835310,2021-07-16T02:38:46Z,1626403126,448354852335159595870320,20162121763936735,1069586289409223604,91184078100781405164059
0,12835302,2021-07-16T02:37:02Z,1626403022,448347252141806514852914,574620096066330496,1069586052908186874,91184057938659641227324
0,12835074,2021-07-16T01:43:57Z,1626399837,448345779650266514852914,110891584337245319,1069579312633029492,91183483318563574896828
0,12835030,2021-07-16T01:34:38Z,1626399278,448545906296188047104336,330072151132741149,1069578011878328799,91183372426979237651509
0,12834899,2021-07-16T01:04:10Z,1626397450,448543636296188047104336,25196406107682425,1069574140142662654,91183042354828104910360
0,12834889,2021-07-16T01:00:33Z,1626397233,448488895156522918298608,390567697446089419,1069573844589633261,91183017158421997227935
0,12834734,2021-07-16T00:22:11Z,1626394931,448487723890082918298608,919710657012129035,1069569263243163840,91182626590724551138516
0,12834369,2021-07-15T22:59:36Z,1626389976,448472555261723844195107,93232515598497519,1069558475066878541,91181706880067539009481
0,12834332,2021-07-15T22:52:32Z,1626389552,448477017649080071838187,105830735921573289,1069557381452483482,91181613647551940511962
0,12834290,2021-07-15T22:44:04Z,1626389044,448477518290622063824561,390562942364649669,1069556140061371158,91181507816816018938673
0,12834135,2021-07-15T22:09:25Z,1626386965,448471889169438646714330,65514158969829864,1069551558770678689,91181117253873654289004
0,12834109,2021-07-15T22:03:40Z,1626386620,431744975169438646714330,23154733631729149,1069550790291711135,91181051739714684459140
0,12834100,2021-07-15T22:01:15Z,1626386475,436251502285368667731270,161162665694901463,1069550518687433906,91181028584981052729991
0,12834037,2021-07-15T21:45:52Z,1626385552,436248502285368667731270,281394823000040619,1069548628254573453,91180867422315357828528
0,12833927,2021-07-15T21:18:23Z,1626383903,436248484021348667731270,741849589222567114,1069545327502393244,91180586027492357787909
0,12833637,2021-07-15T20:15:17Z,1626380117,436253513628318314608537,74184395257490616,1069536625630685342,91179844177903135220795
0,12833608,2021-07-15T20:08:11Z,1626379691,436253848208225868850972,145810279392657887,1069535755450126322,91179769993507877730179
0,12833551,2021-07-15T19:57:32Z,1626379052,436253678469128974806523,634395802210505899,1069534045100261065,91179624183228485072292
0,12833303,2021-07-15T19:05:03Z,1626375903,436247548564857794066595,250689508121588391,1069526603658002329,91178989787426274566393
0,12833205,2021-07-15T18:42:19Z,1626374539,436248511378405974685709,5116105772065240,1069523663078173368,91178739097918152978002
0,12833203,2021-07-15T18:41:48Z,1626374508,436249323732699372024082,163714754686794110,1069523603066417995,91178733981812380912762
0,12833139,2021-07-15T18:27:38Z,1626373658,436250090889446089959806,7674120714912865,1069521682697636140,91178570267057694118652
0,12833136,2021-07-15T18:27:18Z,1626373638,436250090889446089959806,130459757290645180,1069521592680448152,91178562592936979205787
0,12833085,2021-07-15T18:15:22Z,1626372922,436251527762417980718936,335099969343685342,1069520062391711083,91178432133179688560607
0,12832954,2021-07-15T17:48:28Z,1626371308,436251503619827980718936,997608701175465327,1069516131679899803,91178097033210344875265
0,12832564,2021-07-15T16:21:05Z,1626366065,436251476619827980718936,135572151611130984,1069504429762073829,91177099424509169409938
0,12832511,2021-07-15T16:09:53Z,1626365393,436250476619827980718936,10231871540728711,1069502839505116593,91176963852357558278954
0,12832507,2021-07-15T16:09:27Z,1626365367,436251226650059003275046,35811494505667295,1069502719485594075,91176953620486017550243
0,12832493,2021-07-15T16:07:49Z,1626365269,436251166985619003275046,35811475035418330,1069502299417920812,91176917808991511882948
0,12832479,2021-07-15T16:05:17Z,1626365117,436255414699302075281309,997582862786618745,1069501879350475934,91176881997516476464618
0,12832089,2021-07-15T14:38:47Z,1626359927,436278855244051031644343,1002651789198087167,1069490177735733426,91175884414653689845873
0,12831697,2021-07-15T13:01:57Z,1626354117,431767227137882394928693,33441208204591063,1069478416662647919,91174881762864491758706
0,12831684,2021-07-15T12:58:49Z,1626353929,431868142636548646414274,699594829918073959,1069478024398356369,91174848321656287167643
0,12831412,2021-07-15T11:54:42Z,1626350082,431868765338395391989606,473251080590441735,1069469818173609600,91174148726826369093684
0,12831228,2021-07-15T11:16:25Z,1626347785,431889146802589449385534,1239653418380289212,1069464266953727899,91173675475745778651949
0,12830746,2021-07-15T09:33:13Z,1626341593,431899146802589449385534,1131597320786818122,1069449725859191051,91172435822327398362737
0,12830306,2021-07-15T07:47:50Z,1626335270,431897124266940690023087,2517700932979883084,1069436452259187024,91171304225006611544615
0,12829327,2021-07-15T04:17:10Z,1626322630,431795921425228055146028,7716111027430975,1069406919708605422,91168786524073631661531
0,12829324,2021-07-15T04:16:48Z,1626322608,431995937907716717173267,20571062951683489,1069406829198872425,91168778807962604230556
0,12829316,2021-07-15T04:15:06Z,1626322506,431991057433383533806133,30856769165062640,1069406587900968779,91168758236899652547067
0,12829304,2021-07-15T04:10:59Z,1626322259,431978974103279115809790,362570327659155025,1069406225952063643,91168727380130487484427
0,12829163,2021-07-15T03:40:51Z,1626320451,431978403671576623953006,5142844794542147,1069401973013837057,91168364809802828329402
0,12829161,2021-07-15T03:40:46Z,1626320446,422659896040576623953006,307081388485325789,1069401912688433814,91168359666958033787255
0,12829043,2021-07-15T03:13:57Z,1626318837,422660932999043146350696,473629484890980910,1069398310633670552,91168052585569548461466
0,12828861,2021-07-15T02:32:37Z,1626316357,422660693003843146350696,762481599627962076,1069392754975118635,91167578956084657480556
0,12828568,2021-07-15T01:25:46Z,1626312346,422657821334053146350696,23421014485139777,1069383811090595424,91166816474485029518480
0,12828559,2021-07-15T01:23:43Z,1626312223,422656821334053146350696,1105972619481806449,1069383536362852389,91166793053470544378703
0,12828134,2021-07-14T23:41:35Z,1626306095,422656516211503146350696,31227457711197196,1069370563339766579,91165687080851062572254
0,12828122,2021-07-14T23:40:00Z,1626306000,422654115211503146350696,385137280589187888,1069370197042696777,91165655853393351375058
0,12827974,2021-07-14T23:08:13Z,1626304093,422653115211503146350696,109295650165914980,1069365679394841598,91165270716112762187170
0,12827932,2021-07-14T22:58:17Z,1626303497,422634036870927920126708,489236145380118645,1069364397360397160,91165161420462596272190
0,12827744,2021-07-14T22:16:19Z,1626300979,422635036870927920126708,268037359941265561,1069358658636222051,91164672184317216153545
0,12827641,2021-07-14T21:55:09Z,1626299709,422633626269691543020913,715626177413444633,1069355514566651860,91164404146957274887984
0,12827366,2021-07-14T20:49:58Z,1626295798,422631126269691543020913,713017419787089408,1069347120294717041,91163688520779861443351
0,12827092,2021-07-14T19:52:46Z,1626292366,422594094321261832868016,317488457328560133,1069338756623424875,91162975503360074353943
0,12826970,2021-07-14T19:25:13Z,1626290713,422594094321261832868016,538684409280160922,1069335032494080397,91162658014902745793810
0,12826763,2021-07-14T18:38:46Z,1626287926,422593955822151832868016,559497813162625438,1069328713743367715,91162119330493465632888
0,12826548,2021-07-14T17:45:26Z,1626284726,422590955822151832868016,80671979879973900,1069322150852100100,91161559832680303007450
0,12826517,2021-07-14T17:39:44Z,1626284384,418084582722362183764808,120414476361558781,1069321204572383111,91161479160700423033550
0,12826471,2021-07-14T17:28:39Z,1626283719,418079408550276064899134,397926257632521894,1069319792114466716,91166532918310180340443
0,12826319,2021-07-14T16:50:37Z,1626281437,418078071619856064899134,547144382839366302,1069315124717238067,91166134992052547818549
0,12826110,2021-07-14T16:09:30Z,1626278970,418081401416809016660091,722532528009916792,1069308707095562813,91165587847669708452247
0,12825834,2021-07-14T15:09:08Z,1626275348,418084538952606546545742,583777027204929698,1069300232293374824,91164865315141698535455
0,12825611,2021-07-14T14:18:48Z,1626272328,418148538952606546545742,1154344573560021263,1069293384996352667,91164281538114493605757
