,event
0,AccrueInterest
1,Approval
2,Borrow
3,Failure
4,LiquidateBorrow
5,Mint
6,NewAdmin
7,NewComptroller
8,NewImplementation
9,NewMarketInterestRateModel
10,NewPendingAdmin
11,NewReserveFactor
12,Redeem
13,RepayBorrow
14,ReservesAdded
15,ReservesReduced
16,Transfer
