,blockNumber,timestamp_iso8601,timestamp_unixtime,cashPrior,interestAccumulated,borrowIndex,totalBorrows
0,12846606,2021-07-17T21:19:04Z,1626556744,448123235288836757258205,25222149205424075,1069920391585899769,91212560888260395521463
0,12846596,2021-07-17T21:16:56Z,1626556616,448129959795113313525702,60532598747204203,1069920095730904671,91212535666111190097388
0,12846572,2021-07-17T21:09:54Z,1626556194,448129082995113313525702,47921652296855046,1069919385685477544,91212475133512442893185
0,12846553,2021-07-17T21:06:34Z,1626555994,448125815735823313525702,83232555503819399,1069918823566044743,91212427211860146038139
0,12846520,2021-07-17T20:58:46Z,1626555526,448121876446203313525702,30266513357544533,1069917847250858435,91212343979304642218740
0,12846508,2021-07-17T20:56:51Z,1626555411,448121625254053313525702,63055186918508000,1069917492225634847,91212313712791284674207
0,12846483,2021-07-17T20:51:10Z,1626555070,448120383837944942338490,527137369481954557,1069916752590329991,91212250657604366166207
0,12846274,2021-07-17T20:02:11Z,1626552131,448120153837944942338490,267350809909450293,1069910569286020987,91211723520234884211650
0,12846168,2021-07-17T19:38:17Z,1626550697,448120143309134942338490,153852418437145024,1069907433269660483,91211456169424974761357
0,12846107,2021-07-17T19:22:34Z,1626549754,448120143309134942338490,234560935255221871,1069905628585764125,91211302317006537616333
0,12846014,2021-07-17T19:03:54Z,1626548634,448119579049134942338490,95842010125284290,1069902877193573674,91211067756071282394462
0,12845976,2021-07-17T18:54:41Z,1626548081,448119536789343498828352,27743727931006192,1069901752969892144,91210971914061157110172
0,12845965,2021-07-17T18:52:30Z,1626547950,448118036789343498828352,37832400767101168,1069901427536860083,91210944170333226103980
0,12845950,2021-07-17T18:48:26Z,1626547706,448117241674731270206103,27743774180654234,1069900983764021681,91210906337932459002812
0,12845939,2021-07-17T18:47:33Z,1626547653,448102183674731270206103,633067193892966607,1069900658330447113,91210878594158278348578
0,12845688,2021-07-17T17:50:33Z,1626544233,448102120600351270206103,968501043169894944,1069893232472721006,91210245526964385381971
0,12845304,2021-07-17T16:24:34Z,1626539074,448075751099635395199577,809621064592764011,1069881871986782791,91209277025921215487027
0,12844983,2021-07-17T15:14:46Z,1626534886,448077084738400169031243,282482773111430045,1069872375157858906,91208467404856622723016
0,12844871,2021-07-17T14:52:18Z,1626533538,448071056551435927162746,50443679169758486,1069869061644059048,91208184922083511292971
0,12844851,2021-07-17T14:49:07Z,1626533347,448070970643015927162746,431290294880074478,1069868469941332530,91208134478404341534485
0,12844680,2021-07-17T14:09:38Z,1626530978,448070949643015927162746,706197749976707967,1069863410920111204,91207703188109461460007
0,12844400,2021-07-17T13:08:42Z,1626527322,448073390501046357472610,802025395646482392,1069855127243325528,91206996990359484752040
0,12844082,2021-07-17T11:48:43Z,1626522523,448070919511546357472610,12610497441254711,1069845719511352921,91206194964963838269648
0,12844077,2021-07-17T11:47:06Z,1626522426,448065490835914629018019,892815383362989752,1069845571590625458,91206182354466397014937
0,12843723,2021-07-17T10:26:12Z,1626517572,448065394305364629018019,413617784911480204,1069835098895030914,91205289539083034025185
0,12843559,2021-07-17T09:51:33Z,1626515493,448064380185620662816230,731388983259759943,1069830247171780413,91204875921298122544981
0,12843269,2021-07-17T08:49:44Z,1626511784,448062749782680690955547,330384832536883721,1069821668002642409,91204144532314862785038
0,12843138,2021-07-17T08:22:54Z,1626510174,448063758921265248248318,5044036600580328,1069817792599233498,91203814147482325901317
0,12843136,2021-07-17T08:22:18Z,1626510138,448063758921265248248318,365690347692033386,1069817733432847177,91203809103445725320989
0,12842991,2021-07-17T07:39:42Z,1626507582,448061612221265248248318,726329494893740465,1069813443896886432,91203443413098033287603
0,12842703,2021-07-17T06:31:05Z,1626503465,448061612221265248248318,98356949913956513,1069804924075383459,91202717083603139547138
0,12842664,2021-07-17T06:24:08Z,1626503048,448061200854035248248318,27741704463728579,1069803770351539481,91202618726653225590625
0,12842653,2021-07-17T06:21:29Z,1626502889,448062005474035248248318,910417115910283044,1069803444942242625,91202590984948761862046
0,12842292,2021-07-17T04:51:35Z,1626497495,448062400591574457486796,484206489264567548,1069792765778894120,91201680567832851579002
0,12842100,2021-07-17T04:07:47Z,1626494867,448055676191574457486796,264801385516786266,1069787086052422708,91201196361343587011454
0,12841995,2021-07-17T03:41:26Z,1626493286,448055478933644457486796,100876567081004391,1069783979940727942,91200931559958070225188
0,12841955,2021-07-17T03:31:42Z,1626492702,448044632933644457486796,60526677405787622,1069782796661856019,91200830683390989220797
0,12841931,2021-07-17T03:25:57Z,1626492357,448043414392974457486796,42873095159208464,1069782086685886035,91200770156713583433175
0,12841914,2021-07-17T03:21:59Z,1626492119,448043260330574457486796,1293730076961619873,1069781583785865309,91200727283618424224711
0,12841401,2021-07-17T01:32:53Z,1626485573,447972080330574457486796,60530573599294535,1069766408373870848,91199433553541462604838
0,12841377,2021-07-17T01:27:26Z,1626485246,447971845576324457486796,219422561890669523,1069765698352198640,91199373022967863310303
0,12841290,2021-07-17T01:07:49Z,1626484069,447961845576324457486796,587650141017109010,1069763124532638542,91199153600405972640780
0,12841057,2021-07-17T00:18:54Z,1626481134,447961172637964457486796,93317759965289048,1069756231415474967,91198565950264955531770
0,12841020,2021-07-17T00:11:14Z,1626480674,447961047637964457486796,90795530029822895,1069755136801166240,91198472632504990242722
0,12840984,2021-07-17T00:02:18Z,1626480138,447961007669444457486796,696090742054659737,1069754071772533147,91198381836974960419827
0,12840708,2021-07-16T22:57:55Z,1626476275,447964007823319804965175,191675826086978072,1069745906650623778,91197685746232905760090
0,12840632,2021-07-16T22:43:38Z,1626475418,447925007823319804965175,40354696581066212,1069743658299377992,91197494070406818782018
0,12840616,2021-07-16T22:40:14Z,1626475214,447924007823319804965175,456509468084604420,1069743184940091203,91197453715710237715806
0,12840435,2021-07-16T22:02:50Z,1626472970,447924195476337751262288,451461546587075888,1069737830098783172,91196997206242153111386
0,12840256,2021-07-16T21:26:33Z,1626470793,447918099535487751262288,60531543896822638,1069732534469431178,91196545744695566035498
0,12840232,2021-07-16T21:22:48Z,1626470568,447915599522987751262288,32788001037851405,1069731824436377412,91196485213151669212860
0,12840219,2021-07-16T21:19:48Z,1626470388,447848994012627751262288,524645888114818839,1069731439834184819,91196452425150631361455
0,12840011,2021-07-16T20:27:58Z,1626467278,447846824012627751262288,716336471312981612,1069725285754871737,91195927779262516542616
0,12839727,2021-07-16T19:20:08Z,1626463208,447846665099137751262288,30267728292428965,1069716883151212431,91195211442791203561004
