,blockNumber,timestamp_iso8601,timestamp_unixtime,benefactor,addAmount,newTotalReserves
0,12833136,2021-07-15T18:27:18Z,1626373638,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,5230854232830094,1174810327804166075152
0,12785386,2021-07-08T07:26:39Z,1625729199,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,18409753597933291,1143247073505788075811
0,12752893,2021-07-03T05:58:20Z,1625291900,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,3146864046440908,1122094201781052853762
0,12734041,2021-06-30T07:38:30Z,1625038710,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,47788484036693990,1109795985456894384095
